timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1776802871.8863673,0.000,0.000,primary
1776802877.6961937,0.000,0.000,primary
1776802883.2971718,0.000,0.000,primary
1776802889.3579788,0.000,0.000,primary
1776802894.7829957,0.000,0.000,primary
1776802900.216508,0.000,0.000,primary
1776802905.7086096,0.000,0.000,primary
1776802911.2347233,0.000,0.000,primary
1776802916.7081027,0.000,0.000,primary
1776802922.1244316,0.000,0.000,primary
1776802927.5101888,0.000,0.000,primary
1776802933.1628022,0.000,0.000,primary
1776802938.5427213,0.000,0.000,primary
1776802944.0854535,0.000,0.000,primary
1776803245.0080364,0.000,0.000,primary
1776803246.5453277,0.000,0.000,primary
1776803247.8307686,0.000,0.000,primary
1776803249.4170768,0.000,0.000,primary
1776803250.6843548,0.000,0.000,primary
1776803252.0450535,0.000,0.000,primary
1776803253.3131042,0.000,0.000,primary
1776803254.5854912,0.000,0.000,primary
1776803255.8598492,0.000,0.000,primary
1776803257.3637624,1785.917,0.000,backup
1776803258.8466942,1848.588,0.000,primary
1776803260.3448079,1829.281,0.000,backup
1776803261.851041,1751.918,0.000,primary
1776803263.3919241,1685.528,0.000,backup
1776803264.9369621,1727.329,0.000,primary
1776803266.453577,717.375,0.000,backup
1776803267.8786533,0.000,0.000,primary
1776803269.1177363,0.000,0.000,primary
1776803270.367358,0.000,0.000,primary
1776803271.702637,0.000,0.000,primary
1776803272.9564488,0.000,0.000,primary
1776803274.2077484,0.000,0.000,primary
1776803275.569448,0.000,0.000,primary
1776803276.8965843,0.000,0.000,primary
1776803278.3797653,0.000,0.000,primary
1776803279.738367,0.000,0.000,primary
1776803281.078116,0.000,0.000,primary
1776803282.4103987,0.000,0.000,primary
1776803283.642406,0.000,0.000,primary
1776803284.9639418,0.000,0.000,primary
1776803286.201368,0.000,0.000,primary
1776803287.525739,0.000,0.000,primary
1776803288.821948,0.000,0.000,primary
1776803290.0583162,0.000,0.000,primary
1776803291.3581676,0.000,0.000,primary
1776803292.693392,0.000,0.000,primary
1776803293.9231973,0.000,0.000,primary
1776803295.1557598,0.000,0.000,primary
1776803296.4685018,0.000,0.000,primary
1776803297.780196,0.000,0.000,primary
1776803299.1109352,0.000,0.000,primary
1776803300.6292439,0.000,0.000,primary
1776803302.121064,0.000,0.000,primary
1776803303.6242967,0.000,0.000,primary
1776803304.9511034,0.000,0.000,primary
1776803306.2015698,0.000,0.000,primary
1776803307.4611187,0.000,0.000,primary
1776803308.7719538,0.000,0.000,primary
1776803310.037416,0.000,0.000,primary
1776803311.323961,0.000,0.000,primary
1776803312.6798093,0.000,0.000,primary
1776803314.0573802,0.000,0.000,primary
1776803315.3723588,0.000,0.000,primary
1776803316.66424,0.000,0.000,primary
1776803317.93685,0.000,0.000,primary
1776803319.3778818,0.000,0.000,primary
1776803320.7041936,0.000,0.000,primary
1776803321.9874792,0.000,0.000,primary
1776803323.2714972,0.000,0.000,primary
1776803324.612731,0.000,0.000,primary
1776803325.8997397,0.000,0.000,primary
1776803327.1855876,0.000,0.000,primary
1776803328.4850528,0.000,0.000,primary
1776803329.7420635,0.000,0.000,primary
1776803331.014757,0.000,0.000,primary
1776803332.313583,0.000,0.000,primary
1776803333.633918,0.000,0.000,primary
1776803334.88709,0.000,0.000,primary
1776803336.235903,0.000,0.000,primary
1776803337.5576665,0.000,0.000,primary
1776803338.8254118,0.000,0.000,primary
1776803340.0979826,0.000,0.000,primary
1776803341.3975728,0.000,0.000,primary
1776803342.7326825,0.000,0.000,primary
1776803344.0332167,0.000,0.000,primary
1776803345.423782,0.000,0.000,primary
1776803346.7663896,0.000,0.000,primary
1776803348.1398857,0.000,0.000,primary
1776803349.558676,0.000,0.000,primary
1776803351.0092275,0.000,0.000,primary
