timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1776980092.9101284,0.000,0.000,primary
1776980094.3887289,0.000,0.000,primary
1776980096.0238626,0.000,0.000,primary
1776980097.4823987,0.000,0.000,primary
1776980098.6245067,0.000,0.000,primary
1776980099.9819262,0.000,0.000,primary
1776980101.0952077,0.000,0.000,primary
1776980102.5541773,0.000,0.000,primary
1776980103.8200095,0.000,0.000,primary
1776980105.1218112,0.000,0.000,primary
1776980106.211956,0.000,0.000,primary
1776980107.6985521,0.000,0.000,primary
1776980108.9939833,0.000,0.000,primary
1776980110.4001846,0.000,0.000,primary
1776980111.513452,532.418,0.000,primary
1776980112.9191227,1411.326,0.000,primary
1776980115.703013,547.654,0.000,primary
1776980117.574805,734.877,0.000,primary
1776980119.4006119,792.816,0.000,primary
1776980122.5103095,350.617,0.000,primary
1776980124.077805,578.857,0.000,primary
1776980125.3194146,592.824,0.000,primary
1776980127.0748513,540.860,0.000,primary
1776980128.3793766,494.204,0.000,primary
1776980129.878929,599.132,0.000,primary
1776980131.1586008,569.855,0.000,primary
1776980132.6488018,429.902,0.000,primary
1776980134.1443276,356.238,0.000,primary
1776980135.719571,383.970,0.000,primary
1776980136.961594,532.147,0.000,primary
1776980138.4374676,509.259,0.000,primary
1776980139.7579803,449.434,0.000,primary
1776980141.4719217,359.036,0.000,primary
1776980142.8214412,407.702,0.000,primary
1776980144.3105237,489.769,0.000,primary
1776980146.4897451,341.530,0.000,primary
1776980148.0673325,475.430,0.000,primary
1776980149.3436513,430.853,0.000,primary
1776980151.4199302,333.019,0.000,primary
1776980153.0008228,386.766,0.000,primary
1776980154.7413712,375.043,0.000,primary
1776980156.382877,397.209,0.000,primary
1776980157.687256,419.358,0.000,primary
1776980159.3709211,412.967,0.000,primary
1776980160.7845876,423.714,0.000,primary
1776980162.3907743,489.720,0.000,primary
1776980163.6746695,435.917,0.000,primary
1776980165.2227776,438.196,0.000,primary
1776980166.5402935,519.615,0.000,primary
1776980168.1665163,427.154,0.000,primary
1776980169.3912325,446.622,0.000,primary
1776980170.9837914,472.781,0.000,primary
1776980172.2695847,538.573,0.000,primary
1776980173.9554212,382.802,0.000,primary
1776980175.2471504,481.179,0.000,primary
1776980176.8921947,508.166,0.000,primary
1776980178.1404374,422.633,0.000,primary
1776980179.607994,451.119,0.000,primary
1776980180.853553,301.711,0.000,primary
1776980182.5136445,301.127,0.000,primary
1776980183.8099763,443.045,0.000,primary
1776980185.3365622,489.426,0.000,primary
